T,s1,s2,s3,s4,v_x,v_y
1780571295117,2564,1165,1122,2627,-000.0589,-002.4365
1780571295167,2562,1170,1124,2622,-000.0594,-002.4335
1780571295217,2561,1139,1115,2613,-000.0292,-002.4862
1780571295267,2522,1157,1152,2597,-000.0435,-002.3795
1780571295317,2470,1292,1143,2541,+000.0313,-002.1268
1780571295367,2418,1257,1139,2523,+000.0143,-002.0878
1780571295417,2447,1267,1163,2416,+000.0793,-001.9529
1780571295467,2440,1277,1170,2387,+000.0808,-001.8766
1780571295517,2413,1253,1200,2374,+000.0535,-001.8454
1780571295567,2246,1408,1195,2337,+000.0517,-001.5261
1780571295617,2204,1432,1340,2231,+000.0504,-001.3449
1780571295667,2221,1440,1362,2244,+000.0137,-001.2975
1780571295717,2196,1447,1469,2174,+000.0104,-001.1675
1780571295767,2205,1464,1519,2205,-000.0282,-001.1913
1780571295817,2200,1439,1500,2210,-000.0496,-001.1774
1780571295867,2176,1521,1510,2217,-000.0588,-001.0885
1780571295917,2044,1506,1477,2132,-000.0450,-000.9386
1780571295967,2009,1518,1408,2126,-000.0235,-000.9339
1780571296017,1958,1624,1524,2110,-000.0329,-000.7414
1780571296067,2001,1650,1538,2116,-000.0362,-000.7246
1780571296117,1971,1628,1545,2097,-000.0292,-000.7493
1780571296167,1980,1633,1632,2005,-000.0160,-000.5841
1780571296217,1994,1661,1619,2034,-000.0376,-000.6026
1780571296267,1993,1649,1699,1953,-000.0046,-000.5537
1780571296317,1958,1613,1619,1932,+000.0146,-000.5244
1780571296367,1932,1696,1693,1911,+000.0081,-000.4045
1780571296417,1848,1721,1738,1870,-000.0765,-000.2422
1780571296467,1862,1736,1761,1865,-000.0407,-000.2458
1780571296517,1806,1739,1876,1788,-000.1289,-000.0139
1780571296567,1623,1776,1926,1796,-000.2549,+000.1163
1780571296617,1664,1792,2006,1806,-000.2694,+000.1614
1780571296667,1595,1795,1904,1821,-000.2984,+000.2040
1780571296717,1611,1880,2018,1783,-000.2566,+000.2978
1780571296767,1579,1988,2086,1760,-000.2335,+000.5091
1780571296817,1510,1996,2035,1709,-000.1865,+000.5832
1780571296867,1551,2036,2090,1714,-000.2058,+000.6045
1780571296917,1513,2066,2107,1634,-000.1198,+000.6920
1780571296967,1503,2080,2078,1624,-000.1327,+000.7686
1780571297017,1493,2128,2201,1554,-000.1063,+000.9142
1780571297067,1426,2207,2268,1511,-000.1103,+001.1832
1780571297117,1409,2221,2213,1499,-000.1106,+001.1651
1780571297167,1394,2247,2328,1475,-000.1212,+001.3020
1780571297217,1426,2322,2356,1477,-000.0847,+001.3420
1780571297267,1363,2304,2373,1438,-000.1107,+001.4528
1780571297317,1327,2311,2428,1394,-000.1366,+001.5629
1780571297367,1338,2369,2405,1439,-000.1623,+001.5102
1780571297417,1259,2326,2505,1302,-000.1711,+001.7611
1780571297467,1245,2321,2511,1316,-000.1876,+001.7461
1780571297517,1171,2368,2452,1308,-000.1857,+001.7309
1780571297567,1211,2415,2523,1283,-000.1532,+001.8699
1780571297617,1194,2432,2525,1299,-000.1882,+001.9455
1780571297667,1121,2468,2583,1251,-000.2238,+002.1315
1780571297717,1049,2427,2506,1240,-000.2211,+002.0419
1780571297767,1083,2449,2614,1210,-000.2209,+002.1720
1780571297817,1081,2462,2639,1248,-000.2579,+002.1441
1780571297867,1088,2477,2626,1246,-000.2655,+002.2307
1780571297917,1071,2462,2660,1243,-000.2781,+002.2518
1780571297967,1090,2496,2628,1272,-000.2800,+002.2687
1780571298017,1088,2467,2630,1242,-000.2368,+002.1270
1780571298067,1182,2449,2525,1314,-000.2081,+001.9820
1780571298117,1130,2407,2514,1282,-000.1888,+001.9157
1780571298167,1233,2316,2460,1341,-000.1967,+001.7044
1780571298217,1343,2335,2465,1384,-000.1746,+001.6356
1780571298267,1326,2341,2442,1408,-000.1555,+001.5719
1780571298317,1411,2366,2397,1483,-000.1096,+001.4529
1780571298367,1355,2298,2261,1483,-000.0893,+001.3655
1780571298417,1409,2279,2376,1482,-000.1277,+001.3062
1780571298467,1433,2209,2301,1465,-000.0853,+001.1975
1780571298517,1399,2216,2189,1511,-000.0910,+001.1402
1780571298567,1427,2128,2162,1570,-000.1194,+000.9674
1780571298617,1468,2145,2221,1564,-000.1262,+000.9768
1780571298667,1503,2161,2207,1579,-000.1125,+000.9187
1780571298717,1582,2167,2198,1653,-000.1076,+000.7706
1780571298767,1553,2120,2156,1646,-000.1291,+000.8205
1780571298817,1542,2065,2137,1651,-000.1414,+000.6792
1780571298867,1518,2045,2104,1667,-000.1586,+000.6928
1780571298917,1492,2005,1991,1734,-000.2194,+000.5872
1780571298967,1536,2020,2102,1720,-000.2386,+000.6299
1780571299017,1545,2003,2049,1776,-000.2484,+000.5454
1780571299067,1518,1959,2039,1772,-000.2663,+000.5241
1780571299117,1609,1845,2027,1796,-000.2957,+000.2817
1780571299167,1645,1834,2049,1792,-000.2811,+000.2876
1780571299217,1654,1821,1979,1850,-000.3054,+000.2090
1780571299267,1627,1779,2019,1829,-000.3092,+000.1884
1780571299317,1685,1817,2020,1818,-000.2842,+000.2075
1780571299367,1719,1727,1948,1771,-000.1955,+000.0832
1780571299417,1788,1765,1927,1812,-000.1584,+000.0329
1780571299467,1779,1768,1873,1803,-000.1465,-000.0147
1780571299517,1743,1723,1823,1799,-000.1302,-000.0695
1780571299567,1825,1733,1864,1833,-000.0889,-000.1104
1780571299617,1781,1713,1772,1842,-000.0827,-000.1475
